Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,23-08-2026,14:13:40,1,0:00:39.642,0:00:39.642,0:00:39.642,"23.611 km/h",
,,,,,,,,
8931925,23-08-2026,14:24:18,1,0:00:45.498,0:00:45.498,0:00:45.498,"20.572 km/h",
8931925,23-08-2026,14:25:03,2,0:01:26.949,0:00:41.451,0:00:41.451,"22.581 km/h",-0:00:04.047
,,,,,,,,
8931925,23-08-2026,14:28:18,1,0:00:49.687,0:00:49.687,0:00:49.687,"18.838 km/h",
8931925,23-08-2026,14:29:08,2,0:01:29.110,0:00:39.423,0:00:39.423,"23.742 km/h",-0:00:10.264
8931925,23-08-2026,14:29:47,3,0:02:12.738,0:00:43.628,0:00:43.628,"21.454 km/h",0:00:04.205
8931925,23-08-2026,14:30:31,4,0:02:52.694,0:00:39.956,0:00:39.956,"23.426 km/h",-0:00:03.672
8931925,23-08-2026,14:31:11,5,0:03:33.700,0:00:41.006,0:00:41.006,"22.826 km/h",0:00:01.050
8931925,23-08-2026,14:31:52,6,0:04:12.747,0:00:39.047,0:00:39.047,"23.971 km/h",-0:00:01.959
8931925,23-08-2026,14:32:31,7,0:04:52.234,0:00:39.487,0:00:39.487,"23.704 km/h",0:00:00.440
8931925,23-08-2026,14:33:10,8,0:05:32.365,0:00:40.131,0:00:40.131,"23.324 km/h",0:00:00.644
8931925,23-08-2026,14:33:50,9,0:06:14.752,0:00:42.387,0:00:42.387,"22.082 km/h",0:00:02.256
8931925,23-08-2026,14:34:33,10,0:06:53.880,0:00:39.128,0:00:39.128,"23.921 km/h",-0:00:03.259
8931925,23-08-2026,14:35:12,11,0:07:42.030,0:00:48.150,0:00:48.150,"19.439 km/h",0:00:09.022
8931925,23-08-2026,14:36:00,12,0:08:21.995,0:00:39.965,0:00:39.965,"23.420 km/h",-0:00:08.185
8931925,23-08-2026,14:36:40,13,0:09:05.116,0:00:43.121,0:00:43.121,"21.706 km/h",0:00:03.156
8931925,23-08-2026,14:37:23,14,0:09:45.015,0:00:39.899,0:00:39.899,"23.459 km/h",-0:00:03.222
,,,,,,,,
8931925,23-08-2026,15:54:31,1,0:00:41.452,0:00:41.452,0:00:41.452,"22.580 km/h",
8931925,23-08-2026,15:55:12,2,0:01:23.512,0:00:42.060,0:00:42.060,"22.254 km/h",0:00:00.608
8931925,23-08-2026,15:55:54,3,0:02:05.269,0:00:41.757,0:00:41.757,"22.415 km/h",-0:00:00.303
8931925,23-08-2026,15:56:36,4,0:02:47.043,0:00:41.774,0:00:41.774,"22.406 km/h",0:00:00.017
8931925,23-08-2026,15:57:18,5,0:03:27.648,0:00:40.605,0:00:40.605,"23.051 km/h",-0:00:01.169
8931925,23-08-2026,15:57:59,6,0:04:10.109,0:00:42.461,0:00:42.461,"22.044 km/h",0:00:01.856
8931925,23-08-2026,15:58:41,7,0:04:51.267,0:00:41.158,0:00:41.158,"22.742 km/h",-0:00:01.303
8931925,23-08-2026,15:59:22,8,0:05:34.056,0:00:42.789,0:00:42.789,"21.875 km/h",0:00:01.631
8931925,23-08-2026,16:00:05,9,0:06:14.098,0:00:40.042,0:00:40.042,"23.375 km/h",-0:00:02.747
8931925,23-08-2026,16:00:45,10,0:06:54.536,0:00:40.438,0:00:40.438,"23.147 km/h",0:00:00.396
8931925,23-08-2026,16:01:25,11,0:07:41.609,0:00:47.073,0:00:47.073,"19.884 km/h",0:00:06.635
,,,,,,,,
8931925,23-08-2026,16:04:23,1,0:00:43.099,0:00:43.099,0:00:43.099,"21.717 km/h",
8931925,23-08-2026,16:05:06,2,0:01:25.307,0:00:42.208,0:00:42.208,"22.176 km/h",-0:00:00.891
8931925,23-08-2026,16:05:48,3,0:02:05.691,0:00:40.384,0:00:40.384,"23.177 km/h",-0:00:01.824
8931925,23-08-2026,16:06:28,4,0:02:46.014,0:00:40.323,0:00:40.323,"23.213 km/h",-0:00:00.061
,,,,,,,,
8931925,23-08-2026,17:05:58,1,0:00:41.021,0:00:41.021,0:00:41.021,"22.818 km/h",
8931925,23-08-2026,17:06:39,2,0:01:23.598,0:00:42.577,0:00:42.577,"21.984 km/h",0:00:01.556
8931925,23-08-2026,17:07:21,3,0:02:05.077,0:00:41.479,0:00:41.479,"22.566 km/h",-0:00:01.098
8931925,23-08-2026,17:08:03,4,0:02:42.284,0:00:37.207,0:00:37.207,"25.157 km/h",-0:00:04.272
8931925,23-08-2026,17:08:40,5,0:03:30.084,0:00:47.800,0:00:47.800,"19.582 km/h",0:00:10.593
8931925,23-08-2026,17:09:28,6,0:04:10.390,0:00:40.306,0:00:40.306,"23.222 km/h",-0:00:07.494
8931925,23-08-2026,17:10:08,7,0:04:54.210,0:00:43.820,0:00:43.820,"21.360 km/h",0:00:03.514
8931925,23-08-2026,17:10:52,8,0:05:35.033,0:00:40.823,0:00:40.823,"22.928 km/h",-0:00:02.997
,,,,,,,,
8931925,23-08-2026,17:30:33,1,0:00:43.190,0:00:43.190,0:00:43.190,"21.672 km/h",
8931925,23-08-2026,17:31:16,2,0:01:25.228,0:00:42.038,0:00:42.038,"22.266 km/h",-0:00:01.152
8931925,23-08-2026,17:31:58,3,0:02:14.709,0:00:49.481,0:00:49.481,"18.916 km/h",0:00:07.443
8931925,23-08-2026,17:32:47,4,0:02:53.647,0:00:38.938,0:00:38.938,"24.038 km/h",-0:00:10.543
8931925,23-08-2026,17:33:26,5,0:03:41.419,0:00:47.772,0:00:47.772,"19.593 km/h",0:00:08.834
8931925,23-08-2026,17:34:14,6,0:04:20.331,0:00:38.912,0:00:38.912,"24.054 km/h",-0:00:08.860
8931925,23-08-2026,17:34:53,7,0:04:59.555,0:00:39.224,0:00:39.224,"23.863 km/h",0:00:00.312
8931925,23-08-2026,17:35:32,8,0:05:44.449,0:00:44.894,0:00:44.894,"20.849 km/h",0:00:05.670
8931925,23-08-2026,17:36:17,9,0:06:26.980,0:00:42.531,0:00:42.531,"22.007 km/h",-0:00:02.363
8931925,23-08-2026,17:37:00,10,0:07:10.943,0:00:43.963,0:00:43.963,"21.291 km/h",0:00:01.432
8931925,23-08-2026,17:37:44,11,0:07:50.897,0:00:39.954,0:00:39.954,"23.427 km/h",-0:00:04.009
8931925,23-08-2026,17:38:24,12,0:08:30.963,0:00:40.066,0:00:40.066,"23.361 km/h",0:00:00.112
,,,,,,,,
8931925,23-08-2026,17:46:30,1,0:00:44.678,0:00:44.678,0:00:44.678,"20.950 km/h",
8931925,23-08-2026,17:47:14,2,0:01:28.021,0:00:43.343,0:00:43.343,"21.595 km/h",-0:00:01.335
8931925,23-08-2026,17:47:58,3,0:02:19.272,0:00:51.251,0:00:51.251,"18.263 km/h",0:00:07.908
8931925,23-08-2026,17:48:49,4,0:03:02.021,0:00:42.749,0:00:42.749,"21.895 km/h",-0:00:08.502
,,,,,,,,
8931925,23-08-2026,17:52:08,1,0:00:41.108,0:00:41.108,0:00:41.108,"22.769 km/h",
,,,,,,,,
8931925,23-08-2026,17:55:54,1,0:00:43.611,0:00:43.611,0:00:43.611,"21.462 km/h",
8931925,23-08-2026,17:56:37,2,0:01:22.821,0:00:39.210,0:00:39.210,"23.871 km/h",-0:00:04.401
8931925,23-08-2026,17:57:17,3,0:02:07.410,0:00:44.589,0:00:44.589,"20.992 km/h",0:00:05.379
8931925,23-08-2026,17:58:01,4,0:03:03.296,0:00:55.886,0:00:55.886,"16.748 km/h",0:00:11.297
8931925,23-08-2026,17:58:57,5,0:03:44.111,0:00:40.815,0:00:40.815,"22.933 km/h",-0:00:15.071
8931925,23-08-2026,17:59:38,6,0:04:27.746,0:00:43.635,0:00:43.635,"21.451 km/h",0:00:02.820
,,,,,,,,
8931925,23-08-2026,18:37:55,1,0:00:38.703,0:00:38.703,0:00:38.703,"24.184 km/h",
8931925,23-08-2026,18:38:34,2,0:01:19.938,0:00:41.235,0:00:41.235,"22.699 km/h",0:00:02.532
8931925,23-08-2026,18:39:15,3,0:02:05.812,0:00:45.874,0:00:45.874,"20.404 km/h",0:00:04.639
8931925,23-08-2026,18:40:01,4,0:02:45.056,0:00:39.244,0:00:39.244,"23.851 km/h",-0:00:06.630
8931925,23-08-2026,18:40:40,5,0:03:24.798,0:00:39.742,0:00:39.742,"23.552 km/h",0:00:00.498
8931925,23-08-2026,18:41:20,6,0:04:04.527,0:00:39.729,0:00:39.729,"23.560 km/h",-0:00:00.013
