Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
,,,,,,,,
6760915,18-04-2026,14:08:21,1,0:00:52.119,0:00:52.119,0:00:52.119,"17.959 km/h",
,,,,,,,,
6760915,18-04-2026,14:48:19,1,0:00:53.015,0:00:53.015,0:00:53.015,"17.655 km/h",
,,,,,,,,
6760915,18-04-2026,14:51:27,1,0:00:35.814,0:00:35.814,0:00:35.814,"26.135 km/h",
,,,,,,,,
6760915,18-04-2026,16:09:22,1,0:00:42.264,0:00:42.264,0:00:42.264,"22.147 km/h",
,,,,,,,,
6760915,18-04-2026,18:03:05,1,0:00:49.489,0:00:49.489,0:00:49.489,"18.913 km/h",
6760915,18-04-2026,18:03:54,2,0:01:28.949,0:00:39.460,0:00:39.460,"23.720 km/h",-0:00:10.029
,,,,,,,,
6760915,18-04-2026,18:06:32,1,0:00:38.589,0:00:38.589,0:00:38.589,"24.256 km/h",
